rank,ethnicity,gender,language,age,bty_avg,eval_categorical
tenure track,minority,female,english,36,5,good
tenure track,minority,female,english,36,5,bad
tenure track,minority,female,english,36,5,bad
tenure track,minority,female,english,36,5,good
tenured,not minority,male,english,59,3,good
tenured,not minority,male,english,59,3,good
tenured,not minority,male,english,59,3,bad
tenured,not minority,male,english,51,3.333,bad
tenured,not minority,male,english,51,3.333,bad
tenured,not minority,female,english,40,3.167,good
tenured,not minority,female,english,40,3.167,bad
tenured,not minority,female,english,40,3.167,good
tenured,not minority,female,english,40,3.167,good
tenured,not minority,female,english,40,3.167,bad
tenured,not minority,female,english,40,3.167,bad
tenured,not minority,female,english,40,3.167,bad
tenured,not minority,female,english,40,3.167,good
tenure track,not minority,female,english,31,7.333,good
tenure track,not minority,female,english,31,7.333,bad
tenure track,not minority,female,english,31,7.333,good
tenure track,not minority,female,english,31,7.333,good
tenure track,not minority,female,english,31,7.333,good
tenure track,not minority,female,english,31,7.333,good
tenured,not minority,male,english,62,5.5,good
tenured,not minority,male,english,62,5.5,good
tenured,not minority,male,english,62,5.5,good
tenured,not minority,male,english,62,5.5,good
tenured,not minority,male,english,62,5.5,good
tenured,not minority,male,english,62,5.5,good
tenured,not minority,male,english,62,5.5,good
tenure track,not minority,female,english,33,4.167,good
tenure track,not minority,female,english,33,4.167,good
tenure track,not minority,female,english,33,4.167,good
tenure track,not minority,female,english,33,4.167,bad
tenure track,not minority,female,english,33,4.167,bad
tenured,not minority,female,english,51,4,bad
tenured,not minority,female,english,51,4,good
tenured,not minority,female,english,51,4,good
tenured,not minority,female,english,51,4,good
tenured,not minority,female,english,51,4,bad
tenured,not minority,female,english,51,4,good
tenured,not minority,female,english,51,4,good
tenure track,not minority,female,english,33,4.667,good
tenure track,not minority,female,english,33,4.667,good
tenure track,not minority,female,english,33,4.667,bad
tenure track,not minority,female,english,33,4.667,good
tenure track,not minority,female,english,33,4.667,bad
tenure track,not minority,female,english,33,4.667,good
tenure track,not minority,female,english,33,4.667,good
teaching,not minority,male,english,47,5.5,bad
teaching,not minority,male,english,47,5.5,bad
teaching,not minority,male,english,47,5.5,good
teaching,not minority,male,english,47,5.5,good
teaching,not minority,male,english,47,5.5,good
teaching,not minority,male,english,47,5.5,good
teaching,not minority,male,english,47,5.5,good
teaching,not minority,male,english,47,5.5,good
teaching,not minority,male,english,47,5.5,good
teaching,not minority,male,english,47,5.5,good
tenure track,minority,male,non-english,35,4.833,bad
tenure track,minority,male,non-english,35,4.833,bad
tenure track,minority,male,non-english,35,4.833,good
teaching,not minority,male,english,37,4.333,good
teaching,not minority,male,english,37,4.333,good
teaching,not minority,male,english,37,4.333,good
teaching,not minority,male,english,37,4.333,good
teaching,not minority,male,english,37,4.333,bad
tenured,not minority,male,english,42,4.833,bad
tenured,not minority,male,english,42,4.833,bad
tenured,not minority,male,english,42,4.833,bad
tenured,not minority,male,english,42,4.833,bad
tenured,not minority,male,english,42,4.833,bad
tenured,not minority,male,english,42,4.833,good
tenured,not minority,male,english,42,4.833,bad
tenured,not minority,male,non-english,49,4,bad
tenured,not minority,male,non-english,49,4,good
tenured,not minority,male,non-english,49,4,bad
